id,isValid,raingage,SID,date,validRaingege
272,1,3.110224009,6000,6/24/17 1:56,3.110224009
273,1,3.14959383,6000,6/24/17 1:56,3.14959383
274,1,3.18896389,6000,6/24/17 1:57,3.18896389
275,1,3.228333712,6000,6/24/17 1:57,3.228333712
276,1,3.267703772,6000,6/24/17 1:58,3.267703772
277,1,3.307073593,6000,6/24/17 1:59,3.307073593
278,1,3.346443415,6000,6/24/17 1:59,3.346443415
279,1,3.385813475,6000,6/24/17 2:00,3.385813475
280,1,3.425183296,6000,6/24/17 2:01,3.425183296
281,1,3.464553356,6000,6/24/17 2:02,3.464553356
282,1,3.503923178,6000,6/24/17 2:03,3.503923178
283,1,3.543293238,6000,6/24/17 2:04,3.543293238
284,1,3.582663059,6000,6/24/17 2:05,3.582663059
285,1,3.622032881,6000,6/24/17 2:07,3.622032881
286,1,3.661402941,6000,6/24/17 2:08,3.661402941
287,1,3.700772762,6000,6/24/17 2:11,3.700772762
288,1,3.740142822,6000,6/24/17 2:13,3.740142822
289,1,3.779512644,6000,6/24/17 2:16,3.779512644
290,1,3.818882704,6000,6/24/17 2:19,3.818882704
291,1,3.858252525,6000,6/24/17 2:22,3.858252525
292,1,3.897622347,6000,6/24/17 2:23,3.897622347
293,1,3.936992407,6000,6/24/17 2:24,3.936992407
294,1,4.015732288,6000,6/24/17 2:27,4.015732288
295,1,4.055102348,6000,6/24/17 2:29,4.055102348
296,1,4.094471931,6000,6/24/17 2:30,4.094471931
297,1,4.133841991,6000,6/24/17 2:33,4.133841991
298,1,4.173212051,6000,6/24/17 2:37,4.173212051
299,1,4.212581635,6000,6/24/17 2:44,4.212581635
300,1,4.251951694,6000,6/24/17 2:47,4.251951694
301,1,4.291321754,6000,6/24/17 2:50,4.291321754
302,1,4.330691814,6000,6/24/17 2:54,4.330691814
303,1,4.370061398,6000,6/24/17 2:58,4.370061398
304,1,4.409431458,6000,6/24/17 3:07,4.409431458
305,1,4.448801517,6000,6/24/17 3:20,4.448801517
306,1,4.488171101,6000,6/24/17 3:33,4.488171101
307,1,4.527541161,6000,6/24/17 3:53,4.527541161
308,1,4.566911221,6000,6/24/17 4:11,4.566911221
309,1,4.606281281,6000,6/24/17 4:23,4.606281281
310,1,4.645650864,6000,6/24/17 4:36,4.645650864
311,1,4.685020924,6000,6/24/17 4:54,4.685020924
312,1,4.724390984,6000,6/24/17 5:21,4.724390984
313,1,4.724390984,6000,6/24/17 6:17,4.724390984
314,1,4.724390984,6000,6/24/17 18:15,4.724390984
315,1,4.724390984,6000,6/25/17 6:13,4.724390984
316,1,4.724390984,6000,6/25/17 18:11,4.724390984
317,1,4.724390984,6000,6/26/17 6:09,4.724390984
318,1,4.724390984,6000,6/26/17 18:07,4.724390984
319,1,4.724390984,6000,6/27/17 6:05,4.724390984
320,0,55.59033203,6000,6/27/17 18:02,0
321,1,4.724390984,6000,6/27/17 18:03,4.724390984
322,1,4.724390984,6000,6/28/17 6:01,4.724390984
323,0,48.89744568,6000,6/28/17 15:31,0
324,1,4.724390984,6000,6/28/17 17:59,4.724390984
325,1,4.724390984,6000,6/29/17 5:57,4.724390984
326,0,70.86585999,6000,6/29/17 13:00,0
327,1,4.724390984,6000,6/29/17 17:55,4.724390984
328,1,4.724390984,6000,6/30/17 5:52,4.724390984
329,0,43.62187576,6000,6/30/17 11:58,0
330,1,4.724390984,6000,6/30/17 17:50,4.724390984
331,1,4.763760567,6000,7/1/17 1:03,4.763760567
332,1,4.803130627,6000,7/1/17 2:46,4.803130627
333,1,4.842500687,6000,7/1/17 4:06,4.842500687
334,1,4.881870747,6000,7/1/17 4:41,4.881870747
335,1,4.92124033,6000,7/1/17 4:55,4.92124033
336,1,4.96061039,6000,7/1/17 5:14,4.96061039
337,1,4.99998045,6000,7/1/17 5:29,4.99998045
338,1,4.99998045,6000,7/1/17 5:48,4.99998045
339,1,5.039350033,6000,7/1/17 5:52,5.039350033
340,1,5.039350033,6000,7/1/17 17:46,5.039350033
341,1,5.039350033,6000,7/2/17 5:44,5.039350033
342,1,5.039350033,6000,7/2/17 17:42,5.039350033
343,1,5.039350033,6000,7/3/17 5:40,5.039350033
344,1,5.039350033,6000,7/3/17 17:38,5.039350033
345,1,5.078720093,6000,7/3/17 21:41,5.078720093
346,1,5.118090153,6000,7/3/17 21:43,5.118090153
347,1,5.157460213,6000,7/3/17 21:44,5.157460213
348,1,5.196829796,6000,7/3/17 21:46,5.196829796
349,1,5.236199856,6000,7/3/17 21:51,5.236199856
350,1,5.275569916,6000,7/3/17 21:57,5.275569916
351,1,5.314939499,6000,7/3/17 22:04,5.314939499
352,1,5.354309559,6000,7/3/17 22:09,5.354309559
353,1,5.433049679,6000,7/3/17 22:38,5.433049679
354,1,5.472419262,6000,7/3/17 23:19,5.472419262
355,1,5.511789322,6000,7/3/17 23:42,5.511789322
356,0,79.29102325,6000,7/4/17 5:33,0
357,1,5.511789322,6000,7/4/17 5:36,5.511789322
358,1,5.511789322,6000,7/4/17 17:34,5.511789322
